site,country,location,lat_deg,lat_min,lat_ns,long_deg,long_min,long_ew,year,yearn,nh,plot,rep,g1,g2,l1,l2,e,dens,an_g1,an_g2,an_l1,an_l2,an_weed,an_yield,mixture_type,sowing_method,sep_method,carbonates,EC,silt,silt_fine,clay,sand,OM,soil_type,humidity,Ca,K,N-NO3,Mg,Na,P,pH,...1,an_precip,an_air_mean,an_air_min,an_air_max,an_CP_l,an_NDF_C,an_ADF_C,an_IVTD_C,an_IVCWD_C,an_CP_C,an_NDF_K,an_ADF_K,an_CP_K
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,1,1,0.7,0.1,0.1,0.1,0.64,High,6.63227714,3.011689281,7.996786984,1.13740059,0.109947681,18.88810168,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,13.59069899,NA,NA,NA,NA,NA,54.15234985,27.65231541,14.9285938
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,2,1,0.1,0.7,0.1,0.1,0.64,High,2.734425562,5.815990451,5.583578249,0.748305596,0.32925983,15.21155969,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,13.85365724,NA,NA,NA,NA,NA,56.53744599,28.61482209,15.17996094
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,3,1,0.1,0.1,0.7,0.1,0.64,High,3.532818635,2.562061018,11.07714092,0.298025756,0.506267256,17.97631359,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,16.82127855,NA,NA,NA,NA,NA,52.319872,26.67977132,18.8024933
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,4,1,0.1,0.1,0.1,0.7,0.64,High,3.546638892,4.073852129,4.273681794,2.983194282,0.276199782,15.15356688,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,15.12028938,NA,NA,NA,NA,NA,55.23319439,28.2689763,16.47245289
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,5,1,0.25,0.25,0.25,0.25,1,High,4.35896929,3.118096809,7.484666442,2.0328553,0.280113828,17.27470167,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,14.70977004,NA,NA,NA,NA,NA,55.21414543,28.12625347,16.32501504
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,6,1,0.4,0.4,0.1,0.1,0.88,High,3.830525713,3.69050939,6.010937729,1.863277273,0.266813904,15.66206401,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,13.85651227,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,7,1,0.4,0.1,0.4,0.1,0.88,High,4.713119217,2.948057239,9.730222991,0.447159923,0.095875556,17.93443492,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,14.61076926,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,8,1,0.4,0.1,0.1,0.4,0.88,High,5.297552711,3.997068308,5.272356869,1.774956659,0.34432025,16.6862548,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,14.5099256,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,9,1,0.1,0.4,0.4,0.1,0.88,High,2.56870989,5.153059815,6.834846093,0.410354879,0.287575715,15.25454639,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,13.77410715,NA,NA,NA,NA,NA,NA,NA,NA
1,Belgium,Merelbeke,50,59,N,3,49,E,2003,1,4,10,1,0.1,0.4,0.1,0.4,0.88,High,2.537795413,4.734122294,4.795861056,2.009517715,0.487770542,14.56506702,Other,Drilled,Grabbed Sample,1,0.14,27.7,6.4,9.1,56.8,1.31,Sandy loam,0.1,661,107,7,153,36,48,6.6,2,616.3,10.93945205,-6.2,32.32,14.14827771,NA,NA,NA,NA,NA,NA,NA,NA
